127.0.0.1 [03/Jul/2020:15:47:14.370] GET / http 200 OK 1819 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:15:47:24.155] POST /login http 302 FOUND 217 http://localhost:65010/ Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:15:47:24.175] GET /home http 200 OK 5203 http://localhost:65010/ Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:15:47:50.934] GET /reservations http 200 OK 15898 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:15:48:24.026] GET /log http 200 OK 29 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:16:18:09.585] GET /log http 200 OK 29 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:16:31:24.601] GET /log http 500 INTERNAL SERVER ERROR 290 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:16:34:39.277] GET /log http 200 OK 29 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:25:15.179] GET /home http 302 FOUND 245 http://localhost:65010/edit_components Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:25:15.196] GET /login http 200 OK 1999 http://localhost:65010/edit_components Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:25:16.216] GET /login http 200 OK 1819 http://localhost:65010/edit_components Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:25:20.151] POST /login http 302 FOUND 217 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:25:20.163] GET /home http 200 OK 5203 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:28:12.475] GET /home http 302 FOUND 245 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:28:12.490] GET /login http 200 OK 1999 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:28:13.112] GET /login http 200 OK 1819 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:28:13.845] GET /login http 200 OK 1819 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:28:39.293] GET /login http 200 OK 1819 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:28:50.717] GET /log http 200 OK 29 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:30:46.528] GET /log http 200 OK 29 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:30:47.768] GET /log http 200 OK 29 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:50:21.954] GET /home http 302 FOUND 245 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:50:21.968] GET /login http 200 OK 1999 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:50:22.678] GET /login http 200 OK 1819 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:50:26.853] POST /login http 302 FOUND 217 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:50:26.864] GET /home http 200 OK 5203 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:51:20.843] GET /home http 302 FOUND 245 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:51:20.872] GET /login http 200 OK 1999 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:51:21.090] GET /login http 200 OK 1819 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:51:25.031] POST /login http 302 FOUND 217 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:51:25.042] GET /home http 200 OK 5203 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:54:26.146] GET /home http 302 FOUND 245 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:54:26.169] GET /login http 200 OK 1999 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [03/Jul/2020:17:54:26.401] GET /login http 200 OK 1819 http://localhost:65010/login?next=%2Fhome Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
